id,s_uuid_s,document_uuid_s,name_s,publicname_s,substanceType_s,owner_name_s,endpoint_s,effectendpoint_s,endpointcategory_s,guidance_s,loValue_d,unit_s,textValue_s
NWKI-a746a351-af33-4662-a342-31470881b155/19652,NWKI-3e42f6e5-635a-3f1e-a51a-39ce26751ec9,NWKI-a746a351-af33-4662-a342-31470881b155,Cytotox2011Puzyn05,Bi2O3,NPO_Bi2O3,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,15.0,nm,
NWKI-e92d9fb0-e81d-40a4-9ab4-9072a977aa7e/19654,NWKI-c4c91023-5b41-3d6d-bb4f-ee1152926be0,NWKI-e92d9fb0-e81d-40a4-9ab4-9072a977aa7e,Field2011 Batch1,HfO2 Batch 1,NPO_HfO2,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,DLS,286.0,nm,
NWKI-054660b6-87ae-465d-ae2b-88029f8ee4c6/19664,NWKI-ae67096a-fca6-3afc-bade-c362e3eeadc8,NWKI-054660b6-87ae-465d-ae2b-88029f8ee4c6,Lin2011 M4,ZnO,NPO_1542,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,23.0,nm,
NWKI-b39ec610-0d3e-4532-8eea-cf3881128b2d/19665,NWKI-ae67096a-fca6-3afc-bade-c362e3eeadc8,NWKI-b39ec610-0d3e-4532-8eea-cf3881128b2d,Lin2011 M4,ZnO,NPO_1542,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,HYDRODYNAMIC_SIZE,PC_GRANULOMETRY_SECTION,,889.0,nm,
NWKI-2274751c-5188-41ec-87c1-07c42cc08bd1/19667,NWKI-6b4d33a5-b573-3dbe-9ec3-9d2a9bc42a2e,NWKI-2274751c-5188-41ec-87c1-07c42cc08bd1,Nagy2012 QD3,CdSe CdSe AUT,NPO_CdSe,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,3.37,nm,
NWKI-6ca051cf-ff1a-4cec-aa66-9b387bb25bd7/19669,NWKI-b5856825-27e6-34cd-95bf-f253020f1a38,NWKI-6ca051cf-ff1a-4cec-aa66-9b387bb25bd7,Lin2013 24,ZrO2,ENM_9000241,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,40.1,nm,
NWKI-216d700d-b6db-4d85-9ed0-afdca85684ce/19680,NWKI-417f0133-8f2c-3255-bdcf-7d71ac295d00,NWKI-216d700d-b6db-4d85-9ed0-afdca85684ce,Liu2011 05,ZnO,NPO_1542,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,10.0,nm,
NWKI-164b0ee3-b137-4e81-9678-eee640405590/19688,NWKI-56d49cc3-4a76-354b-9a77-4b2ecb2dbef0,NWKI-164b0ee3-b137-4e81-9678-eee640405590,Gerloff2009 NM7,ZnO,NPO_1542,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,10.0,nm,
NWKI-7ef2a55a-086c-4e36-9268-70cd569f7da9/19693,NWKI-7998492c-3902-3cc2-9f92-cdfae53cfc02,NWKI-7ef2a55a-086c-4e36-9268-70cd569f7da9,Limbach2005 NM1,CeO2 CeO2 I,ENM_9000006,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,20.0,nm,
NWKI-b254c15f-b806-4069-9011-47d3c89b7d03/19697,NWKI-11bd7878-7fd9-365c-8f01-a452d9c7f4ec,NWKI-b254c15f-b806-4069-9011-47d3c89b7d03,Horie2009 NM7,CeO2,ENM_9000006,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,14.0,nm,
NWKI-cbb0cdbd-ba86-4af9-a9f5-918f6127927a/19700,NWKI-47d254de-8242-3374-9ed3-085227d473cc,NWKI-cbb0cdbd-ba86-4af9-a9f5-918f6127927a,Shaw51 34,Fe2O3 PNP26,NPO_1550,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,20.0,nm,
NWKI-a818d690-5674-4b73-925a-ad7980b4c320/19701,NWKI-7ec086b4-bfe8-3246-9c6c-b3565770315b,NWKI-a818d690-5674-4b73-925a-ad7980b4c320,JRCNM62002a,TiO2 JRCNM62002a,CHEBI_51050,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,21.0,nm,
NWKI-d52cc032-2f68-4a58-9e0f-ceeb8d733203/19703,NWKI-6ede15ea-8037-379f-933e-7b947e155c6a,NWKI-d52cc032-2f68-4a58-9e0f-ceeb8d733203,COD 1517079,Nanomaterial COD1517079,NPO_199,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,25.0,Å,
